iter	Passed	Remaining
0	150	149906
1	153	76695
2	160	53447
3	164	40891
4	168	33573
5	175	29118
6	179	25458
7	182	22643
8	185	20456
9	192	19027
10	195	17587
11	198	16357
12	201	15318
13	209	14727
14	212	13935
15	215	13234
16	219	12663
17	224	12225
18	227	11730
19	230	11281
20	233	10883
21	240	10693
22	243	10351
23	246	10031
24	253	9887
25	257	9630
26	260	9389
27	264	9179
28	268	9001
29	272	8808
30	276	8629
31	284	8595
32	287	8422
33	290	8256
34	298	8229
35	301	8076
36	304	7933
37	307	7796
38	315	7779
39	318	7652
40	321	7528
41	327	7459
42	330	7354
43	333	7253
44	336	7151
45	343	7132
46	347	7047
47	351	6965
48	355	6908
49	360	6858
50	364	6783
51	367	6707
52	375	6714
53	379	6640
54	382	6566
55	385	6493
56	389	6445
57	393	6384
58	396	6322
59	405	6352
60	409	6309
61	420	6358
62	426	6336
63	435	6365
64	439	6325
65	445	6306
66	451	6284
67	455	6242
68	464	6266
69	468	6229
70	473	6193
71	480	6193
72	485	6159
73	490	6138
74	495	6111
75	499	6077
76	509	6104
77	513	6069
78	517	6037
79	526	6055
80	530	6023
81	540	6048
82	542	5989
83	546	5958
84	555	5980
85	559	5950
86	565	5933
87	574	5949
88	578	5924
89	587	5936
90	592	5917
91	602	5947
92	607	5920
93	611	5898
94	619	5898
95	623	5870
96	627	5845
97	635	5853
98	640	5825
99	645	5805
100	651	5800
101	656	5779
102	665	5797
103	670	5773
104	674	5750
105	679	5729
106	685	5719
107	696	5749
108	700	5726
109	709	5738
110	724	5805
111	729	5780
112	733	5757
113	744	5785
114	756	5819
115	761	5801
116	764	5768
117	775	5796
118	780	5775
119	789	5791
120	794	5768
121	797	5737
122	806	5752
123	811	5732
124	818	5732
125	823	5710
126	827	5688
127	837	5704
128	841	5682
129	849	5684
130	853	5661
131	857	5640
132	879	5736
133	885	5724
134	890	5703
135	897	5703
136	902	5683
137	906	5661
138	913	5656
139	917	5635
140	927	5648
141	930	5621
142	934	5602
143	943	5607
144	947	5589
145	961	5626
146	965	5605
147	972	5596
148	977	5583
149	981	5561
150	992	5579
151	998	5568
152	1006	5569
153	1009	5545
154	1014	5528
155	1023	5536
156	1026	5513
157	1033	5506
158	1037	5489
159	1046	5492
160	1050	5474
161	1054	5452
162	1057	5429
163	1068	5444
164	1072	5426
165	1076	5407
166	1080	5389
167	1084	5369
168	1088	5354
169	1094	5343
170	1097	5321
171	1102	5305
172	1108	5298
173	1111	5278
174	1115	5256
175	1118	5235
176	1125	5231
177	1128	5210
178	1131	5189
179	1138	5186
180	1142	5167
181	1145	5148
182	1148	5128
183	1155	5123
184	1158	5103
185	1161	5083
186	1164	5063
187	1172	5062
188	1175	5043
189	1178	5023
190	1185	5019
191	1188	5001
192	1191	4983
193	1195	4968
194	1201	4958
195	1204	4941
196	1207	4923
197	1215	4922
198	1218	4904
199	1221	4885
200	1224	4867
201	1232	4867
202	1235	4850
203	1238	4832
204	1245	4831
205	1248	4813
206	1251	4796
207	1255	4779
208	1263	4780
209	1266	4764
210	1269	4747
211	1273	4732
212	1279	4727
213	1294	4752
214	1297	4736
215	1300	4721
216	1307	4718
217	1311	4703
218	1314	4686
219	1317	4670
220	1324	4670
221	1327	4653
222	1330	4636
223	1333	4620
224	1341	4621
225	1344	4605
226	1347	4590
227	1355	4588
228	1358	4574
229	1361	4558
230	1364	4542
231	1370	4538
232	1374	4524
233	1378	4511
234	1385	4511
235	1389	4499
236	1393	4484
237	1396	4470
238	1404	4470
239	1407	4456
240	1410	4441
241	1415	4434
242	1420	4426
243	1424	4413
244	1433	4417
245	1438	4407
246	1441	4394
247	1448	4392
248	1452	4380
249	1455	4366
250	1458	4352
251	1466	4352
252	1469	4340
253	1473	4327
254	1482	4330
255	1486	4318
256	1489	4305
257	1497	4305
258	1500	4292
259	1503	4278
260	1508	4271
261	1512	4261
262	1516	4249
263	1519	4236
264	1528	4238
265	1531	4224
266	1534	4211
267	1540	4208
268	1543	4195
269	1547	4182
270	1549	4169
271	1557	4168
272	1560	4156
273	1563	4143
274	1566	4130
275	1574	4130
276	1578	4119
277	1581	4107
278	1589	4108
279	1593	4097
280	1596	4085
281	1602	4080
282	1605	4068
283	1608	4056
284	1611	4044
285	1619	4043
286	1622	4031
287	1625	4019
288	1629	4008
289	1636	4005
290	1639	3994
291	1642	3982
292	1648	3978
293	1653	3969
294	1656	3959
295	1660	3948
296	1668	3948
297	1671	3938
298	1684	3949
299	1689	3942
300	1695	3937
301	1699	3927
302	1702	3916
303	1705	3905
304	1711	3899
305	1715	3890
306	1718	3878
307	1721	3867
308	1728	3864
309	1731	3853
310	1734	3842
311	1737	3830
312	1744	3828
313	1747	3817
314	1750	3806
315	1753	3795
316	1760	3793
317	1763	3782
318	1766	3771
319	1773	3768
320	1776	3758
321	1781	3750
322	1788	3747
323	1791	3738
324	1796	3731
325	1800	3721
326	1806	3718
327	1810	3709
328	1813	3699
329	1822	3701
330	1826	3691
331	1829	3681
332	1835	3677
333	1844	3678
334	1851	3675
335	1856	3668
336	1859	3658
337	1868	3659
