iter	Passed	Remaining
0	139	139789
1	144	72110
2	146	48744
3	148	36984
4	150	29928
5	152	25215
6	153	21845
7	155	19328
8	157	17391
9	159	15818
10	161	14531
11	163	13488
12	165	12580
13	167	11801
14	169	11120
15	171	10548
16	173	10022
17	174	9532
18	176	9094
19	177	8700
20	178	8342
21	180	8016
22	181	7718
23	183	7447
24	184	7195
25	185	6963
26	187	6755
27	188	6558
28	190	6371
29	191	6200
30	193	6040
31	194	5886
32	196	5745
33	197	5609
34	198	5483
35	200	5367
36	201	5256
37	203	5153
38	205	5051
39	206	4956
40	207	4862
41	209	4772
42	210	4687
43	212	4606
44	213	4530
45	214	4456
46	216	4387
47	218	4325
48	219	4260
49	220	4198
50	222	4136
51	223	4079
52	225	4023
53	226	3968
54	227	3916
55	229	3865
56	230	3815
57	232	3771
58	233	3726
59	235	3682
60	236	3639
61	237	3599
62	239	3558
63	240	3518
64	241	3480
65	243	3444
66	244	3408
67	245	3364
68	246	3332
69	248	3301
70	249	3270
71	251	3238
72	252	3208
73	254	3178
74	255	3149
75	256	3122
76	258	3094
77	259	3068
78	261	3042
79	262	3020
80	264	2996
81	265	2972
82	267	2950
83	268	2927
84	269	2900
85	270	2880
86	271	2854
87	273	2833
88	274	2812
89	276	2793
90	278	2778
91	279	2761
92	281	2742
93	282	2725
94	284	2707
95	285	2690
96	287	2672
97	288	2655
98	289	2638
99	291	2623
100	293	2608
101	293	2586
102	295	2570
103	296	2555
104	297	2540
105	299	2525
106	300	2510
107	302	2494
108	303	2481
109	304	2467
110	306	2454
111	308	2442
112	309	2428
113	310	2415
114	312	2401
115	313	2386
116	314	2375
117	316	2363
118	317	2349
119	318	2337
120	320	2325
121	321	2314
122	322	2298
123	323	2287
124	325	2275
125	326	2264
126	328	2254
127	328	2240
128	330	2230
129	331	2220
130	333	2210
131	334	2200
132	336	2193
133	338	2185
134	339	2175
135	340	2165
136	342	2156
137	343	2145
138	344	2135
139	346	2126
140	347	2117
141	348	2108
142	350	2099
143	351	2092
144	353	2083
145	354	2075
146	356	2066
147	357	2058
148	358	2049
149	360	2041
150	361	2033
151	363	2025
152	364	2018
153	366	2012
154	367	2005
155	369	1997
156	370	1989
157	371	1982
158	373	1975
159	374	1967
160	376	1960
161	377	1952
162	379	1946
163	381	1947
164	383	1941
165	385	1934
166	386	1927
167	387	1920
168	389	1913
169	390	1906
170	391	1900
171	393	1893
172	394	1887
173	396	1881
174	397	1875
175	399	1869
176	400	1863
177	402	1857
178	403	1851
179	405	1845
180	405	1836
181	407	1831
182	408	1825
183	410	1819
184	411	1814
185	413	1809
186	414	1803
187	416	1797
188	417	1791
189	418	1785
190	420	1780
191	421	1774
192	423	1769
193	424	1763
194	426	1758
195	427	1753
196	428	1748
197	430	1743
198	431	1737
199	433	1732
200	434	1726
201	435	1721
202	437	1716
203	438	1711
204	439	1706
205	441	1701
206	442	1696
207	444	1691
208	445	1686
209	447	1681
210	448	1676
211	449	1672
212	451	1667
213	452	1662
214	453	1657
215	455	1653
216	457	1649
217	458	1644
218	459	1639
219	461	1635
220	462	1630
221	463	1625
222	465	1621
223	466	1616
224	468	1612
225	469	1607
226	470	1603
227	472	1599
228	473	1595
229	475	1590
230	476	1586
231	477	1582
232	479	1577
233	480	1573
234	482	1569
235	483	1564
236	484	1560
237	486	1556
238	487	1552
239	489	1548
240	490	1544
241	491	1540
242	493	1536
243	494	1532
244	495	1527
245	497	1524
246	499	1521
247	501	1519
248	502	1515
249	503	1511
250	505	1507
251	506	1504
252	508	1500
253	509	1497
254	511	1493
255	512	1489
256	513	1485
257	515	1482
258	516	1478
259	518	1474
260	519	1471
261	521	1467
262	522	1463
263	523	1460
264	525	1456
265	526	1453
266	528	1449
267	529	1445
268	531	1442
269	532	1439
270	533	1435
271	535	1432
272	536	1429
273	538	1425
274	539	1422
275	541	1419
276	542	1416
277	543	1412
278	545	1410
279	547	1407
280	548	1403
281	550	1400
282	551	1397
283	552	1394
284	554	1390
285	555	1387
286	557	1383
287	558	1380
288	559	1377
289	561	1374
290	562	1371
291	564	1368
292	565	1365
293	567	1362
294	568	1358
295	570	1355
296	571	1352
297	572	1349
298	574	1346
299	575	1343
300	577	1340
301	578	1336
302	579	1333
303	581	1330
304	582	1327
305	583	1324
306	585	1321
307	586	1318
308	588	1315
309	589	1312
310	591	1309
311	592	1307
312	594	1304
313	595	1300
314	596	1297
315	598	1294
316	599	1292
317	600	1288
318	602	1285
319	603	1282
320	605	1279
321	606	1277
322	607	1274
323	609	1271
324	610	1268
325	612	1265
326	613	1262
327	614	1259
328	616	1256
329	617	1254
330	619	1251
331	620	1248
332	622	1245
333	623	1243
334	624	1240
335	626	1237
336	627	1234
337	629	1231
338	630	1229
339	631	1226
340	633	1223
341	634	1221
342	636	1219
343	637	1216
344	639	1213
345	640	1210
346	642	1208
347	643	1205
348	644	1202
349	646	1199
350	647	1196
351	648	1194
352	650	1191
353	651	1189
354	652	1186
355	654	1183
356	655	1180
357	657	1178
358	658	1175
359	659	1172
360	661	1170
361	662	1167
362	663	1165
363	665	1162
364	666	1160
365	668	1157
366	669	1155
367	671	1153
368	672	1150
369	674	1148
370	676	1146
371	677	1144
372	679	1142
373	681	1140
374	682	1137
375	684	1135
376	685	1133
377	687	1130
378	688	1127
379	689	1125
380	691	1122
381	692	1120
382	693	1117
383	695	1115
384	696	1113
385	698	1110
386	699	1108
387	700	1105
388	702	1103
389	703	1100
390	705	1098
391	706	1095
392	707	1093
393	709	1091
394	711	1089
395	712	1086
396	713	1084
397	715	1081
398	716	1079
399	718	1077
400	719	1074
401	720	1072
402	722	1070
403	723	1067
404	725	1065
405	726	1063
406	728	1061
407	729	1058
408	730	1056
409	732	1053
410	733	1051
411	735	1049
412	737	1047
413	738	1045
414	740	1043
415	741	1041
416	743	1039
417	744	1036
418	746	1034
419	747	1032
420	749	1030
421	750	1027
422	751	1025
423	753	1023
424	754	1021
425	756	1018
426	757	1016
427	759	1014
428	760	1012
429	761	1009
430	763	1007
431	764	1005
432	766	1003
433	767	1001
434	769	999
435	770	997
436	772	994
437	773	992
438	775	990
439	776	988
440	777	986
441	779	983
442	780	981
443	782	979
444	783	977
445	785	975
446	786	973
447	787	970
448	789	968
449	790	966
450	792	964
451	793	961
452	794	959
453	796	957
454	797	955
455	799	953
456	800	951
457	802	949
458	803	946
459	804	944
460	807	944
461	809	942
462	810	940
463	812	938
464	814	936
465	815	934
466	817	932
467	818	930
468	820	928
469	821	926
470	822	924
471	824	921
472	825	919
473	826	917
474	828	915
475	830	913
476	831	911
477	832	909
478	834	907
479	835	905
480	836	902
481	838	900
482	839	898
483	841	896
484	842	894
485	844	892
486	845	890
487	847	888
488	848	886
489	849	884
490	851	882
491	852	880
492	854	878
493	855	876
494	856	874
495	858	872
496	859	870
497	861	868
498	862	866
499	864	864
500	865	862
501	867	860
502	869	858
503	870	856
504	871	854
505	873	852
506	874	850
507	876	848
508	877	846
509	879	844
510	880	842
511	881	840
512	883	838
513	884	836
514	886	834
515	887	832
516	889	830
517	890	828
518	891	826
519	893	824
520	894	822
521	896	820
522	897	818
523	899	816
524	900	814
525	901	812
526	903	810
527	904	808
528	906	806
529	907	804
530	908	802
531	910	800
532	911	798
533	913	796
534	914	794
535	916	792
536	917	791
537	918	789
538	920	787
539	921	785
540	923	783
541	924	781
542	925	779
543	927	777
544	928	775
545	929	773
546	931	771
547	932	769
548	934	767
549	935	765
550	937	763
551	938	761
552	940	759
553	941	758
554	943	756
555	944	754
556	946	752
557	947	750
558	949	748
559	950	747
560	952	745
561	953	743
562	954	741
563	956	739
564	957	737
565	959	735
566	960	733
567	961	731
568	963	729
569	964	727
570	966	725
571	967	724
572	968	722
573	970	720
574	971	718
575	973	716
576	974	714
577	975	712
578	977	710
579	978	708
580	980	707
581	981	705
582	983	703
583	984	701
584	986	699
585	987	697
586	988	695
587	990	693
588	991	691
589	993	690
590	994	688
591	996	686
592	997	684
593	998	682
594	1000	680
595	1001	679
596	1003	677
597	1004	675
598	1005	673
599	1007	671
600	1008	669
601	1010	667
602	1011	666
603	1013	664
604	1014	662
605	1016	660
606	1017	658
607	1018	656
608	1020	654
609	1021	653
610	1023	651
611	1024	649
612	1025	647
613	1027	645
614	1028	644
615	1030	642
616	1031	640
617	1032	638
618	1034	636
619	1035	634
620	1037	633
621	1038	631
622	1040	629
623	1041	627
624	1043	625
625	1044	624
626	1045	622
627	1046	620
628	1048	618
629	1049	616
630	1051	614
631	1052	612
632	1054	611
633	1055	609
634	1056	607
635	1058	605
636	1059	603
637	1060	601
638	1062	600
639	1063	598
640	1065	596
641	1066	594
642	1067	592
643	1069	591
644	1070	589
645	1072	587
646	1073	585
647	1074	583
648	1076	582
649	1077	580
650	1079	578
651	1080	576
652	1082	575
653	1083	573
654	1085	571
655	1086	570
656	1088	568
657	1090	566
658	1092	565
659	1094	563
660	1095	561
661	1096	559
662	1098	558
663	1099	556
664	1101	554
665	1102	552
666	1104	551
667	1105	549
668	1107	547
669	1108	546
670	1110	544
671	1111	542
672	1113	540
673	1114	538
674	1115	537
675	1117	535
676	1118	533
677	1120	532
678	1121	530
679	1122	528
680	1124	526
681	1125	524
682	1127	523
683	1129	521
684	1130	519
685	1131	518
686	1133	516
687	1135	514
688	1136	512
689	1137	511
690	1139	509
691	1140	507
692	1142	505
693	1143	504
694	1145	502
695	1146	500
696	1147	499
697	1149	497
698	1150	495
699	1152	493
700	1153	492
701	1154	490
702	1156	488
703	1157	486
704	1159	485
705	1160	483
706	1161	481
707	1162	479
708	1164	477
709	1165	476
710	1167	474
711	1168	472
712	1170	471
713	1171	469
714	1172	467
715	1174	465
716	1175	463
717	1176	462
718	1178	460
719	1180	458
720	1181	457
721	1182	455
722	1184	453
723	1186	452
724	1187	450
725	1189	448
726	1190	447
727	1191	445
728	1193	443
729	1195	442
730	1196	440
731	1198	438
732	1199	436
733	1200	435
734	1202	433
735	1203	431
736	1205	430
737	1206	428
738	1208	426
739	1210	425
740	1212	423
741	1213	421
742	1215	420
743	1216	418
744	1217	416
745	1219	415
746	1220	413
747	1222	411
748	1223	410
749	1225	408
750	1226	406
751	1227	404
752	1229	403
753	1230	401
754	1231	399
755	1233	398
756	1234	396
757	1235	394
758	1237	392
759	1239	391
760	1240	389
761	1241	387
762	1243	386
763	1244	384
764	1246	382
765	1247	381
766	1248	379
